sequence,frame,label,mask_voxels,center_x,center_y,center_z,eig1,eig2,eig3,eigfrac1,eigfrac2,eigfrac3,axis_ratio21,axis_ratio31,bbox_major,bbox_mid,bbox_minor,bbox_ratio_minor_major,proxy_volume_phys,surface_area_phys,projected_area_px,perimeter_px,roundness,intensity_mean,intensity_var,intensity_q25,intensity_median,intensity_q75,gradient_mean_inplane,gradient_q75_inplane,boundary_mean_intensity,outside_neighbor_mean_intensity,boundary_contrast_norm,intensity_polarity_norm,intensity_axis_asym_abs,sphericity
02,25,1,9,279.0,504.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,,,9.0,12.0,0.7853981633974483,980.6666666666666,70.22222222222223,972.0,980.0,987.0,15.304033236347928,22.41093483101497,979.875,969.25,0.01083446634942215,0.0011187637467565347,0.0012488900795685801,
02,25,2,9,319.0,455.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,,,9.0,12.0,0.7853981633974483,986.0,1148.6666666666667,968.0,994.0,1019.0,36.82275269334308,49.84475900232641,985.0,967.0833333333334,0.018171061528059442,0.023617301895047436,0.015595691961564772,
02,25,4,9,295.0,566.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,,,9.0,12.0,0.7853981633974483,1093.5555555555557,297.5802469135803,1078.0,1092.0,1109.0,14.40239332832823,20.524375751773793,1093.75,1096.5833333333333,-0.0025909368014630455,0.01113065786560319,0.0031110162349427626,
02,25,5,9,294.0,474.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,,,9.0,12.0,0.7853981633974483,880.0,376.0,869.0,876.0,894.0,22.396886098761573,25.283393759541063,878.25,870.4166666666666,0.008901515151515185,0.01399679729099682,0.013762915852776057,
02,25,6,9,357.0,599.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,,,9.0,12.0,0.7853981633974483,1050.7777777777778,154.8395061728395,1049.0,1051.0,1054.0,14.547265205294533,17.67766952966369,1051.875,1052.6666666666667,-0.0007534101723591705,0.004030343416957986,0.005698294844215421,
02,25,7,9,337.0,594.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,,,9.0,12.0,0.7853981633974483,1058.2222222222222,1495.9506172839506,1026.0,1054.0,1085.0,34.97396279500671,43.174066289845804,1058.5,1049.4166666666667,0.008583578328433353,0.0249704124192975,0.02096108925210294,
02,25,8,9,347.0,739.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,,,9.0,12.0,0.7853981633974483,1411.7777777777778,3621.7283950617284,1358.0,1418.0,1451.0,62.39466523676842,86.4783209827758,1411.0,1350.75,0.04267668817881313,0.028860231757640978,0.0018314302342995103,
02,25,9,9,321.0,671.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,,,9.0,12.0,0.7853981633974483,1034.0,440.0,1016.0,1027.0,1045.0,29.414566729132577,39.68941924493227,1034.25,1041.4166666666667,-0.006931012250161253,0.013242808450307734,0.005922363981598109,
02,25,10,9,325.0,711.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,,,9.0,12.0,0.7853981633974483,1159.0,478.8888888888889,1150.0,1163.0,1176.0,30.06133425924189,37.72598573927526,1158.125,1137.5,0.017795513373597915,0.011381584922268796,0.015498640880411061,
02,25,11,9,352.0,683.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,,,9.0,12.0,0.7853981633974483,1053.5555555555557,85.13580246913581,1050.0,1056.0,1060.0,15.66553328368566,21.840329667841555,1052.375,1045.1666666666667,0.006841910989242697,0.0021026578820318026,0.00012916524687300654,
02,25,13,9,375.0,394.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,1.0,0.0,3.0,3.0,0.0,0.9999999999996666,,,9.0,12.0,0.7853981633974483,1006.8888888888889,268.0987654320988,993.0,1006.0,1017.0,23.5764040049785,27.459060435491963,1007.0,995.0,0.011917898918561012,0.011240366178664817,0.007163041070807396,
