sequence,frame,label,x_um,y_um,z_um,voxel_count
01,15,1,273.238,198.53400000000002,79.16999999999999,75
01,15,2,269.178,202.18800000000002,85.25999999999999,75
01,15,7,306.53000000000003,205.842,119.76999999999998,75
01,15,10,298.004,189.19600000000003,81.19999999999999,75
01,15,13,278.516,194.47400000000002,75.11,75
01,15,18,289.884,199.752,89.32,75
01,15,23,207.06,199.346,54.809999999999995,75
01,15,28,319.11600000000004,187.572,89.32,75
01,15,33,259.434,213.556,105.55999999999999,75
01,15,36,216.804,207.872,66.99,75
01,15,37,263.088,194.88000000000002,71.05,75
01,15,40,298.004,192.44400000000002,87.28999999999999,75
01,15,45,254.96800000000002,201.376,81.19999999999999,75
01,15,46,315.05600000000004,199.346,113.67999999999999,75
01,15,49,269.584,212.33800000000002,109.61999999999999,75
01,15,52,279.32800000000003,198.12800000000001,89.32,75
01,15,57,220.864,203.406,66.99,75
01,15,58,273.238,212.33800000000002,138.04,75
01,15,63,282.982,204.62400000000002,113.67999999999999,75
01,15,68,283.79400000000004,209.90200000000002,140.07,75
01,15,71,226.14200000000002,201.782,64.96,75
01,15,76,308.154,193.256,91.35,75
01,15,77,293.132,209.496,117.74,75
01,15,82,270.396,212.74400000000003,131.95,75
01,15,87,289.884,205.03,148.19,75
01,15,90,218.834,217.616,131.95,75
01,15,95,313.838,190.008,91.35,75
01,15,100,304.5,196.098,97.44,75
01,15,105,324.394,185.948,97.44,75
01,15,110,322.77000000000004,195.286,107.58999999999999,75
01,15,111,332.514,185.13600000000002,97.44,75
01,15,114,194.88000000000002,200.15800000000002,54.809999999999995,75
01,15,117,330.48400000000004,194.068,113.67999999999999,75
01,15,120,316.68,205.03,129.92,75
01,15,123,242.788,195.692,64.96,75
01,15,128,229.39000000000001,208.27800000000002,77.13999999999999,75
01,15,133,247.66000000000003,198.53400000000002,66.99,75
01,15,138,238.322,203.812,83.22999999999999,75
01,15,141,373.52000000000004,177.42200000000003,119.76999999999998,75
01,15,142,183.918,198.53400000000002,48.72,75
01,15,147,251.72000000000003,205.436,77.13999999999999,75
01,15,152,362.55800000000005,184.73000000000002,121.79999999999998,75
01,15,157,200.56400000000002,212.33800000000002,75.11,75
01,15,158,243.60000000000002,213.96200000000002,125.85999999999999,75
01,15,161,354.84400000000005,180.264,107.58999999999999,75
01,15,166,251.72000000000003,214.774,101.49999999999999,75
01,15,171,377.98600000000005,183.10600000000002,129.92,75
01,15,172,347.13,187.16600000000003,172.54999999999998,75
01,15,175,180.264,201.782,54.809999999999995,75
01,15,180,345.91200000000003,191.226,168.48999999999998,75
01,15,185,382.452,179.858,131.95,75
01,15,188,397.47400000000005,174.98600000000002,140.07,75
01,15,189,207.06,219.64600000000002,99.46999999999998,75
01,15,194,248.472,210.71400000000003,123.82999999999998,75
01,15,201,387.324,177.01600000000002,131.95,75
01,15,206,394.632,177.828,158.33999999999997,75
01,15,211,185.948,219.64600000000002,123.82999999999998,75
01,15,218,332.92,199.346,148.19,75
01,15,221,384.88800000000003,181.07600000000002,164.42999999999998,75
01,15,224,402.752,171.738,140.07,75
01,15,227,246.848,206.65400000000002,152.24999999999997,75
01,15,232,291.10200000000003,198.12800000000001,170.51999999999998,75
01,15,235,289.884,203.812,158.33999999999997,75
01,15,240,370.678,183.918,176.60999999999999,75
01,15,243,272.42600000000004,205.436,156.30999999999997,75
01,15,248,263.494,213.96200000000002,136.01,75
01,15,253,265.93,209.496,138.04,75
01,15,258,199.346,220.05200000000002,125.85999999999999,75
01,15,261,282.982,204.62400000000002,150.22,75
01,15,266,294.35,200.97000000000003,160.36999999999998,75
01,15,271,258.216,209.90200000000002,146.16,75
01,15,274,330.48400000000004,198.12800000000001,156.30999999999997,75
01,15,275,378.798,177.42200000000003,184.73,75
01,15,278,222.08200000000002,211.12,144.13,75
01,15,283,213.96200000000002,215.18,136.01,75
01,15,288,272.02000000000004,194.47400000000002,168.48999999999998,75
01,15,293,208.68400000000003,215.586,138.04,75
01,15,294,318.30400000000003,200.15800000000002,154.27999999999997,75
01,15,297,308.56,201.376,146.16,75
01,15,300,337.79200000000003,194.47400000000002,166.45999999999998,75
01,15,303,299.22200000000004,200.15800000000002,162.39999999999998,75
01,15,306,227.76600000000002,217.21,123.82999999999998,75
01,15,309,233.85600000000002,216.804,125.85999999999999,75
01,15,316,235.074,207.06,150.22,75
01,15,321,367.024,177.01600000000002,188.79,75
01,15,322,357.68600000000004,183.512,184.73,75
01,15,327,358.09200000000004,188.38400000000001,172.54999999999998,75
01,15,330,332.514,193.662,162.39999999999998,75
01,15,333,172.144,94.59800000000001,38.56999999999999,75
01,15,338,276.892,79.17,62.92999999999999,75
01,15,339,285.418,74.70400000000001,69.02,75
01,15,344,293.944,64.14800000000001,79.16999999999999,75
01,15,345,287.44800000000004,69.426,75.11,75
01,15,350,280.952,69.426,71.05,75
01,15,355,288.26000000000005,50.344,109.61999999999999,75
01,15,360,285.418,45.878,123.82999999999998,75
01,15,365,267.148,76.73400000000001,60.89999999999999,75
01,15,370,182.294,89.32000000000001,42.629999999999995,75
01,15,375,208.27800000000002,54.404,103.52999999999999,75
01,15,380,195.692,85.66600000000001,44.66,75
01,15,385,200.15800000000002,88.914,40.599999999999994,75
01,15,390,255.37400000000002,75.11,64.96,75
01,15,395,188.79000000000002,90.944,42.629999999999995,75
01,15,396,272.42600000000004,73.89200000000001,64.96,75
01,15,401,203.812,81.2,50.74999999999999,75
01,15,406,193.256,56.028000000000006,97.44,75
01,15,411,235.88600000000002,82.012,50.74999999999999,75
01,15,416,209.09,85.26,46.69,75
01,15,417,213.15,85.26,50.74999999999999,75
01,15,422,206.24800000000002,53.592000000000006,107.58999999999999,75
01,15,425,182.70000000000002,59.276,87.28999999999999,75
01,15,430,353.22,67.802,91.35,75
01,15,435,360.528,60.49400000000001,103.52999999999999,75
01,15,440,244.818,79.17,56.839999999999996,75
01,15,441,261.058,75.92200000000001,62.92999999999999,75
01,15,442,262.276,67.396,71.05,75
01,15,445,201.376,64.554,73.08,75
01,15,450,359.716,55.62200000000001,111.64999999999999,75
01,15,455,254.156,46.284000000000006,127.88999999999999,75
01,15,460,238.322,68.208,69.02,75
01,15,465,275.26800000000003,45.878,127.88999999999999,75
01,15,470,300.44,67.802,77.13999999999999,75
01,15,475,297.598,51.562000000000005,105.55999999999999,75
01,15,480,251.31400000000002,80.79400000000001,56.839999999999996,75
01,15,485,263.494,54.81,93.38,75
01,15,490,258.622,58.464000000000006,85.25999999999999,75
01,15,495,318.30400000000003,62.39907692307692,87.44615384615385,65
01,15,498,255.78000000000003,48.720000000000006,142.1,75
01,15,503,216.39800000000002,75.92200000000001,54.809999999999995,75
01,15,508,268.772,55.62200000000001,93.38,75
01,15,511,272.02000000000004,44.660000000000004,144.13,75
01,15,516,304.906,62.93000000000001,83.22999999999999,75
01,15,521,305.718,57.246,91.35,75
01,15,522,299.22200000000004,43.848000000000006,131.95,75
01,15,527,338.60400000000004,61.306000000000004,99.46999999999998,75
01,15,530,218.834,52.78,131.95,75
01,15,533,252.93800000000002,51.562000000000005,117.74,75
01,15,536,222.48800000000003,75.516,56.839999999999996,75
01,15,541,207.872,60.900000000000006,77.13999999999999,75
01,15,546,315.46200000000005,42.63,154.27999999999997,75
01,15,551,226.14200000000002,49.938,121.79999999999998,75
01,15,554,231.82600000000002,48.314,123.82999999999998,75
01,15,559,210.71400000000003,54.81,97.44,75
01,15,564,349.97200000000004,62.524,97.44,75
01,15,567,335.762,68.614,87.28999999999999,75
01,15,572,334.13800000000003,40.6,158.33999999999997,75
01,15,577,366.21200000000005,56.434000000000005,113.67999999999999,75
01,15,580,343.882,45.878,174.57999999999998,75
01,15,583,223.70600000000002,58.870000000000005,79.16999999999999,75
01,15,586,237.91600000000003,49.938,123.82999999999998,75
01,15,591,377.98600000000005,61.712,113.67999999999999,75
01,15,596,329.266,40.6,158.33999999999997,75
01,15,599,343.07000000000005,62.93000000000001,95.41,75
01,15,602,361.34000000000003,42.63,162.39999999999998,75
01,15,607,375.144,53.998000000000005,121.79999999999998,75
01,15,608,245.63000000000002,59.276,85.25999999999999,75
01,15,611,384.88800000000003,57.246,119.76999999999998,75
01,15,614,368.648,47.096000000000004,129.92,75
01,15,619,228.17200000000003,76.73400000000001,58.87,75
01,15,621,191.226,59.682,79.16999999999999,75
01,15,626,261.87,47.096000000000004,140.07,75
01,15,631,318.30400000000003,64.14800000000001,85.25999999999999,75
01,15,636,306.93600000000004,72.674,71.05,75
01,15,641,197.722,51.156000000000006,111.64999999999999,75
01,15,646,311.40200000000004,62.524,83.22999999999999,75
01,15,651,176.61,58.05800000000001,89.32,75
01,15,654,181.888,56.434000000000005,105.55999999999999,75
01,15,659,218.42800000000003,54.404,97.44,75
01,15,662,230.608,53.18600000000001,138.04,75
01,15,665,244.00600000000003,49.938,109.61999999999999,75
01,15,670,247.25400000000002,47.096000000000004,115.71,75
01,15,680,189.19600000000003,66.584,66.99,75
01,15,695,219.24,59.682,79.16999999999999,75
01,15,700,241.57000000000002,209.496,85.25999999999999,75
